sound.files	selec	start	end
file01.wav	1	0.332	0.949
file01.wav	2	1.16	2.041
file01.wav	3	2.198	2.671
file01.wav	4	2.853	3.317
file01.wav	5	3.475	4.073
file01.wav	6	4.227	4.803
file01.wav	7	4.973	5.517
file01.wav	8	5.681	6.222
file01.wav	9	6.388	6.893
file01.wav	10	7.116	7.716
file01.wav	11	7.904	8.283
file01.wav	12	8.449	8.82
file01.wav	13	9.036	9.498
file01.wav	14	9.679	9.986
file01.wav	15	10.148	10.562
file01.wav	16	10.762	11.348
file01.wav	17	11.512	11.795
file01.wav	18	11.939	12.335
file01.wav	19	12.535	12.916
file01.wav	20	13.113	13.611
file01.wav	21	13.83	14.194
file01.wav	22	14.386	14.854
file01.wav	23	15.039	15.38
file01.wav	24	15.598	15.911
file01.wav	25	16.314	16.586
file01.wav	26	16.918	17.175
file02.wav	2	2.844	3.227
file02.wav	3	3.552	3.887
file03.wav	5	2.065	2.478
file03.wav	6	2.519	3.085
file04.wav	1	0.777	1.091
file04.wav	12	1.89	2.998
file05.wav	2	0.528	1.076
file05.wav	3	1.311	1.638
file05.wav	5	3.664	4.353
file05.wav	6	4.453	4.974
file05.wav	7	5.101	5.585
file05.wav	8	5.896	6.312
file06.wav	1	1.252	1.902
file06.wav	3	2.803	3.243
file06.wav	6	3.645	3.986
file07.wav	2	1.544	2.432
file07.wav	3	2.834	3.484
file07.wav	4	4.439	5.5
file07.wav	5	6.206	6.777
file07.wav	6	7.666	8.192
file07.wav	7	8.563	8.579
file08.wav	1	1.621	2.38
file08.wav	2	2.591	3.17
file08.wav	3	7.76	8.17
file08.wav	4	9.042	9.374
file09.wav	5	2.012	3.456
file09.wav	7	3.738	4.839
file09.wav	9	5.339	6.263
file09.wav	10	6.532	7.45
file09.wav	12	8.975	8.981
file09.wav	13	9.022	10.148
file09.wav	14	10.554	11.795
file09.wav	15	12.043	12.958
file09.wav	16	13.181	14.216
file09.wav	17	14.326	15.197
file09.wav	18	15.577	16.445
file09.wav	19	16.718	17.634
file09.wav	20	17.843	18.639
file09.wav	23	18.87	19.725
file09.wav	24	19.954	20.558
file09.wav	25	20.85	21.665
file09.wav	27	21.9	22.717
file09.wav	29	22.987	23.684
file10.wav	2	0.664	1.107
file10.wav	3	1.24	1.686
file10.wav	4	1.886	2.382
file10.wav	5	3.951	4.474
file10.wav	6	4.62	5.286
file10.wav	7	5.551	6.048
file10.wav	8	7.341	7.843
file10.wav	9	8.192	8.864
file10.wav	10	9.942	10.575
file10.wav	11	10.759	11.357
file10.wav	12	11.636	11.951
file10.wav	13	12.791	13.37
file10.wav	14	13.74	14.383
file10.wav	15	15.628	16.208
file10.wav	16	16.348	16.838
file11.wav	1	2.286	2.609
file11.wav	2	2.839	3.282
file11.wav	3	4.774	5.229
file11.wav	4	6.508	6.992
file12.wav	2	3.194	3.935
file12.wav	3	4.22	4.892
file12.wav	4	5.244	5.761
file12.wav	6	7.404	7.807
file12.wav	9	11.12	11.762
file12.wav	10	11.921	12.614
file12.wav	12	12.81	13.258
file12.wav	13	13.55	14.296
file12.wav	14	14.463	14.904
file12.wav	15	15.339	15.994
file12.wav	16	16.177	16.516
file13.wav	3	0.67	0.867
file13.wav	4	1.33	1.798
file13.wav	5	2.535	2.88
file13.wav	6	3.2	3.66
file13.wav	7	4.166	4.712
file13.wav	14	5.696	5.993
file13.wav	15	6.479	6.915
file13.wav	16	7.087	7.661
file13.wav	18	9.874	10.54
file14.wav	1	1.61	2.01
file14.wav	2	2.18	2.92
file14.wav	3	3.1	3.68
file14.wav	4	4.19	4.45
file14.wav	5	4.74	5.28
file14.wav	6	5.84	6.15
file14.wav	7	6.8	7.2
file14.wav	8	7.27	7.6
file14.wav	9	7.67	8.01
file14.wav	10	8.2	8.68
file14.wav	11	8.88	9.29
file14.wav	12	10.14	10.52
file14.wav	13	12.48	13.18
file14.wav	14	13.33	13.68
file14.wav	15	13.83	14.32
file14.wav	16	14.49	14.9
file14.wav	17	15.11	15.49
file14.wav	18	17.56	18.04
file15.wav	2	0.291	1.002
file15.wav	3	1.179	1.761
file15.wav	4	1.899	2.61
file15.wav	5	2.777	3.314
file15.wav	6	3.514	4.179
file15.wav	7	4.387	4.977
file15.wav	8	5.188	5.67
file15.wav	9	5.797	6.404
file15.wav	11	6.581	7.105
file15.wav	12	7.327	7.936
file15.wav	19	8.91	9.324
file15.wav	21	9.451	9.962
file16.wav	1	1.3	1.814
file16.wav	2	2.706	3.066
file16.wav	3	4.515	4.78
file16.wav	4	5.04	5.21
file16.wav	5	6.531	6.972
file16.wav	6	7.173	7.37
file17.wav	1	3.27	3.75
file17.wav	2	5.36	5.96
file17.wav	3	13.67	14.14
file17.wav	4	14.27	14.73
file17.wav	5	14.95	15.38
file17.wav	6	15.65	16.08
file17.wav	7	16.38	16.78
file18.wav	2	2.709	3.176
file18.wav	4	3.298	3.84
file18.wav	9	5.118	5.587
file18.wav	11	5.725	6.188
file19.wav	1	2.032	2.354
file19.wav	4	4.51	5.094
file19.wav	6	5.233	5.732
file19.wav	13	6.797	7.233
file19.wav	17	9.429	9.994
file20.wav	1	2.092	2.332
file20.wav	2	2.362	3.139
file20.wav	4	3.262	3.761
file20.wav	5	4.742	5.048
file20.wav	6	6.215	6.672
