"target.ID";"category";"treatment";"caller.ID";"status_caller";"length_call";"call_nr_elements";"call_elongated_duplication";"calling";"calling_distress";"min_dist";"approach_duration";"reaction_duration";"OBS_PerchDurPerEv"
1;4;"distress familiar";"T";"breeder";"00:16";21;"no";4;0;1;42;840;25
1;4;"distress unfamiliar";"M";"non-breeder";"00:16";21;"no";17;0;2;41;1800;NA
1;3;"social unfamiliar";NA;NA;NA;NA;NA;0;0;3;5;30;NA
2;2;"social unfamiliar";NA;NA;NA;NA;NA;2;0;5;0;613;NA
2;1;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
2;3;"distress familiar";"C";"non-breeder";"00:17";26;"no";0;0;2;11;600;0
2;3;"distress familiar";"G";"non-breeder";"00:07";6;"yes (3x)";0;0;4;3;NA;0
2;1;"distress unfamiliar";"I";"non-breeder";"00:07";6;"yes (3x)";0;0;5;0;0;NA
3;4;"distress familiar";"C";"non-breeder";"00:17";26;"no";7;0;0;49;162;23.6666666666667
3;5;"distress unfamiliar";"N";"non-breeder";"00:17";22;"no";3;2;0;27;29;NA
3;0;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
3;3;"social unfamiliar";NA;NA;NA;NA;NA;0;0;4;5;38;NA
4;3;"distress familiar";"O";"non-breeder";"00:09";7;"no";0;0;1;81;98;3
4;2;"social unfamiliar";NA;NA;NA;NA;NA;0;0;5;0;49;NA
4;1;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
5;3;"distress familiar";"Q";"breeder";"00:23";18;"no";0;0;0;26;49;6.45454545454545
5;1;"distress unfamiliar";"K";"non-breeder";"00:23";14;"yes (3x)";0;0;5;0;0;NA
5;1;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
5;3;"social unfamiliar";NA;NA;NA;NA;NA;0;0;2;42;21;NA
6;1;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
6;3;"social unfamiliar";NA;NA;NA;NA;NA;0;0;2;88;43;NA
6;2;"distress familiar";"L";"non-breeder";"00:09";6;"yes (3x)";0;0;5;0;780;8
6;3;"distress unfamiliar";"I";"non-breeder";"00:09";6;"yes (3x)";0;0;3;3;960;NA
7;2;"social unfamiliar";NA;NA;NA;NA;NA;0;0;5;0;88;NA
7;3;"pine grosbeak";NA;NA;NA;NA;NA;0;0;3;26;24;NA
7;3;"distress familiar";"H";"non-breeder";"00:08";7;"no";0;0;4;13;1800;0
7;4;"distress unfamiliar";"E";"non-breeder";"00:08";8;"no";1;0;4;10;1057;NA
8;5;"distress familiar";"J";"non-breeder";"00:16";16;"no";5;2;0;49;52;0
8;4;"distress unfamiliar";"M";"non-breeder";"00:15";16;"no";6;0;0;78;115;NA
8;1;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
8;3;"social unfamiliar";NA;NA;NA;NA;NA;0;0;1;22;74;NA
9;1;"social unfamiliar";NA;NA;NA;NA;NA;0;0;5;0;0;NA
9;4;"distress familiar";"H";"non-breeder";"00:17";14;"yes (2x)";1;0;2;14;28;0
9;4;"distress unfamiliar";"E";"non-breeder";"00:28";28;"yes (3.5x)";2;0;0;25;34;NA
9;1;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
10;5;"distress familiar";"J";"non-breeder";"00:16";16;"no";7;2;0;19;48;0
10;1;"social unfamiliar";NA;NA;NA;NA;NA;0;0;5;0;0;NA
10;1;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
11;1;"distress familiar";"E";"non-breeder";"00:17";15;"no";0;0;5;0;0;38
11;1;"distress unfamiliar";"F";"non-breeder";"00:17";15;"yes (2x)";0;0;5;0;0;NA
11;3;"social unfamiliar";NA;NA;NA;NA;NA;0;0;1;14;42;NA
11;1;"pine grosbeak";NA;NA;NA;NA;NA;0;0;5;0;0;NA
12;3;"distress familiar";"E";"non-breeder";"00:17";15;"no";0;0;3;5;840;20.4285714285714
